Year,currency,Raw Material Price,Global demand percent,Labor Cost,Interest Rates,Consumer Price Index
1994,85,2333,21,1558,3,366
1995,89,2342,27,2537,5,471
1996,88,1801,34,2041,5,274
1997,84,1918,43,2709,2,394
1998,71,2017,30,1591,5,304
1999,83,1965,24,1823,8,420
2000,73,1635,22,2543,6,343
2001,82,1766,31,2494,5,409
2002,75,1602,11,2104,4,385
2003,84,1592,22,2409,3,236
2004,73,1953,39,2717,4,353
2005,80,1576,34,1686,3,293
2006,90,2265,35,2557,8,311
2007,74,2108,29,2186,7,276
2008,78,2148,28,2425,5,335
2009,71,1258,42,2209,3,449
2010,85,1218,42,2757,5,318
2011,90,1856,31,2118,6,470
2012,87,2028,22,2232,9,269
2013,89,2325,20,1593,6,385
2014,77,1996,27,2283,2,230
2015,76,1510,24,2858,3,220
2016,81,1810,39,2142,7,434
2017,86,1813,19,2798,5,254
2018,80,1975,20,2044,4,317
2019,76,2041,16,2426,9,409
2020,77,1331,12,2231,5,473
2021,78,2363,11,2377,6,335
2022,84,1871,20,2229,4,411
