currency,Raw Material Price,Global demand percent,Labor Cost,Interest Rates,Consumer Price Index,Category
76,3194,12,3420,2,352,0
70,2821,24,3022,5,807,0
78,2559,21,3489,2,820,0
73,3094,42,3135,3,806,0
78,2898,37,2628,8,747,1
87,2023,28,2708,8,544,1
80,2600,21,2572,7,639,0
78,2910,8,2557,2,283,0
76,2083,27,2797,4,323,0
76,1959,23,2333,3,493,0
87,2395,32,2567,8,553,1
79,2072,33,2709,8,602,1
85,1978,36,2221,5,258,0
76,3044,38,2820,3,624,0
86,2556,13,3005,5,543,1
89,2433,35,2999,8,621,0
87,2324,11,3363,4,342,1
76,2660,41,2773,4,594,0
83,2315,20,3451,3,699,0
84,2398,43,2919,4,485,1
80,2584,21,2728,5,266,1
74,2363,19,2245,3,372,0
89,2867,6,3537,8,768,1
80,2839,37,2945,2,774,1
87,2441,32,2883,2,263,0
73,2191,23,3053,4,270,1
80,2686,13,2516,6,224,0
81,2737,40,2430,3,667,0
76,2473,43,3568,8,803,1
72,2209,14,3256,7,440,0
76,2916,42,3235,3,660,0
75,2026,11,2415,2,457,1
88,2110,18,2770,5,487,1
79,2202,16,2478,8,567,1
85,2502,25,2205,6,605,1
82,2399,27,2291,7,733,1
86,2560,16,3244,5,201,1
83,2474,21,2372,2,260,0
75,2330,16,3483,6,438,1
86,2538,32,2611,4,648,0
72,1829,14,3022,6,341,1
79,2435,43,3511,2,468,0
71,2723,23,3539,6,827,0
77,2898,26,3358,4,240,1
84,1854,8,2837,3,731,0
76,1975,39,2445,8,219,1
82,2156,30,2585,9,341,1
76,1965,44,3459,5,786,1
75,2923,40,2639,9,426,0
71,2398,29,3033,3,272,0
75,1954,23,2416,4,272,1
71,2791,24,3597,8,502,1
70,2785,7,2547,3,461,1
80,1891,29,2314,7,423,0
71,1835,39,2725,3,294,0
73,2532,30,2629,8,799,0
89,1957,6,2665,2,576,0
79,1986,34,3323,8,747,1
77,2007,30,2389,5,835,0
71,1844,14,2314,5,770,0
84,2325,22,3018,9,474,1
77,2334,10,2386,7,274,1
72,2451,38,2835,6,670,0
82,1865,35,2481,7,306,0
81,3053,22,2453,7,819,1
83,2450,18,3527,5,332,1
87,3136,43,3557,8,470,0
86,3181,32,2274,3,312,1
88,2969,36,3478,3,424,0
79,2895,39,3224,6,659,1
87,2077,36,3198,5,831,1
81,2132,34,3215,6,591,1
89,2002,23,2843,6,348,1
84,2385,31,3359,3,848,0
86,3142,38,3247,4,696,0
72,3079,42,3447,8,407,1
71,2260,23,3524,4,810,0
88,2818,35,2667,7,812,0
85,2767,37,2331,4,212,1
73,2174,18,3263,3,625,1
82,2876,37,2272,4,472,0
77,3058,8,2614,8,681,1
87,2294,7,2600,2,817,0
83,2422,13,3338,6,289,0
82,1955,32,2429,5,273,0
78,2574,17,2840,6,623,1
79,2906,34,2734,7,617,0
78,2373,31,2701,6,445,0
71,2108,41,2537,6,421,0
81,2061,23,2855,2,624,1
81,2977,19,2868,3,349,1
72,2358,23,3076,5,685,0
85,1860,30,2794,5,497,1
76,1802,42,3106,7,662,1
75,3176,29,3408,6,732,0
89,1966,20,2226,4,599,1
85,2010,17,3130,9,726,0
82,2212,8,2593,6,594,0
76,1990,9,3180,4,500,1
79,2317,32,2700,6,750,0
84,2683,43,3240,3,660,0
73,2311,32,3125,4,552,0
84,3015,29,2510,8,825,0
79,2348,16,2776,8,297,1
75,1919,41,2488,5,326,0
78,2519,20,2976,7,645,1
87,1990,37,2821,3,429,0
74,2507,15,2738,5,563,1
77,2467,17,3320,8,424,1
74,2922,40,3329,5,496,0
85,2087,15,2237,3,730,0
85,2386,19,2253,6,717,1
84,2371,27,2334,5,267,0
82,2137,22,3134,2,437,0
76,2711,11,3386,8,794,0
76,2819,11,2777,9,641,0
78,2506,41,2870,4,793,0
82,2920,28,2609,7,455,1
73,2941,43,3004,4,254,0
76,2922,32,2696,7,670,0
71,2401,12,2340,2,649,0
72,2745,31,3417,5,432,0
86,1987,36,2387,7,432,0
77,2703,19,2783,4,345,0
81,2519,34,3111,3,817,0
84,2555,14,2638,3,624,1
90,3022,12,3023,2,390,0
86,2271,9,2581,3,428,0
75,3146,25,3518,7,510,1
86,2963,31,3095,8,653,0
74,2824,30,2575,7,849,1
90,2594,35,3415,5,549,1
70,3101,37,3397,8,808,0
76,3124,39,2336,5,602,1
83,2737,21,3459,6,406,1
72,3068,31,2668,7,401,1
90,2014,12,3547,8,334,0
70,2929,37,2273,6,267,1
88,3017,40,3446,6,361,1
75,2580,29,3024,8,687,0
80,1977,20,2772,4,294,1
77,2877,32,3487,7,784,1
85,3119,42,2261,8,208,0
82,1966,41,3329,9,835,1
77,2310,33,2958,2,636,0
78,2883,36,2412,7,583,1
74,2770,20,2955,4,475,1
80,2795,33,2372,5,608,1
82,2479,19,3262,6,258,1
77,2477,14,3446,8,384,0
77,3110,20,3015,5,605,0
76,2734,43,2612,8,683,0
78,2898,33,2948,6,300,1
75,2959,26,2296,8,202,0
79,3170,28,3245,7,551,0
79,1834,28,3002,5,231,0
86,2830,17,3067,4,671,1
76,2529,23,2384,2,545,1
87,3034,42,3157,3,453,1
86,1857,18,2823,6,229,1
84,2272,30,3099,6,431,1
75,1821,7,3003,5,281,0
83,3172,40,2368,8,292,0
81,3147,31,2350,5,627,1
74,2152,34,2999,2,289,1
81,3199,28,2940,4,319,1
82,3020,32,2469,6,211,1
79,2471,16,2841,8,301,0
75,2442,21,2979,8,626,1
74,2527,39,3180,9,811,1
85,2054,15,2742,6,680,1
76,2398,23,3195,4,724,1
80,2318,22,2550,3,503,0
80,2162,21,3488,9,291,1
83,3068,10,3232,4,422,1
88,2989,35,3442,8,831,1
71,2619,13,2799,4,649,1
83,3072,17,3428,7,788,0
83,1920,16,3579,4,303,0
81,1849,26,2301,6,293,0
71,1905,29,2639,4,732,0
75,3058,39,2978,8,651,1
78,1834,36,2529,4,260,1
84,2951,18,2375,8,791,0
79,2271,15,2756,8,670,1
75,2110,10,2453,4,771,0
80,2767,10,2555,4,782,0
71,2224,40,3246,3,818,0
75,2330,16,2519,5,647,1
79,2166,37,2837,9,271,0
88,2339,36,3596,5,593,1
77,2640,24,2524,7,216,1
86,3085,37,2603,5,522,0
70,2601,31,3244,4,473,1
79,2623,30,3102,6,490,0
79,1928,25,2615,2,627,0
76,2963,40,3432,8,704,0
82,2057,37,2631,4,318,0
88,2066,12,3387,3,677,1
77,2953,32,3143,2,453,1
73,2555,10,2871,4,742,0
87,2809,24,3556,8,836,1
84,2403,12,2621,6,446,0
71,2687,32,3023,6,550,1
82,2405,12,2501,5,612,1
81,2528,35,2697,7,613,0
78,3009,22,3401,3,617,1
86,3104,31,2823,5,829,0
72,2904,14,3236,7,317,1
82,2091,33,2461,4,260,1
87,2977,40,2917,5,455,0
79,2875,43,3157,8,643,1
73,2419,42,2652,6,589,0
83,2478,34,2263,3,642,0
90,2732,12,2455,5,538,0
90,3103,31,3024,8,447,0
74,2527,14,3218,2,328,0
88,2699,18,3221,5,566,1
78,1899,11,2766,8,776,0
82,2090,26,2366,7,731,1
81,2834,27,2932,5,305,1
83,2230,14,2729,5,506,1
83,1835,19,3088,5,745,0
86,2265,8,3276,4,439,0
79,2418,20,2986,4,556,0
84,1866,22,3036,8,741,1
76,2194,25,3424,6,275,1
83,2223,7,3410,5,715,1
82,3083,18,3268,4,738,1
77,2668,9,2881,4,620,1
79,2238,22,3010,5,742,1
74,1939,28,2290,7,458,0
78,2528,19,3320,9,210,0
81,2051,13,2480,8,714,0
73,3019,39,3140,3,508,0
81,2396,39,2829,7,347,1
90,2297,28,2716,5,738,0
71,2204,20,2886,3,745,1
72,2042,8,2647,7,547,1
73,2605,42,2961,6,809,1
90,2733,36,3416,7,811,0
87,2885,41,2518,8,230,0
74,2474,17,3265,8,350,1
80,2446,31,3389,8,738,1
73,1838,18,3031,3,486,0
87,2400,39,3107,2,308,1
79,3028,6,2821,3,688,0
84,2862,9,2778,5,539,1
78,1950,20,3577,6,402,1
85,2838,27,2587,4,683,0
72,2111,19,2990,7,668,0
72,2313,43,2658,5,255,0
79,2652,33,3184,6,259,0
76,3077,36,3590,9,694,0
79,2287,37,2804,3,415,1
77,2870,35,2226,8,445,0
73,2976,24,2229,4,721,1
81,2582,38,2436,8,471,1
81,1875,22,3427,2,796,0
72,2529,15,2337,4,394,1
79,2792,12,3429,3,205,0
76,2689,16,2486,3,256,0
76,2337,21,2569,2,352,1
86,1911,10,3592,3,653,1
78,3176,31,2584,3,251,0
70,2719,17,3409,4,466,1
78,1815,26,3272,7,669,1
71,3056,16,2941,9,336,1
75,2469,19,2672,4,469,0
79,2473,36,3336,5,571,0
76,2430,12,3136,7,525,1
87,2912,22,2688,3,845,1
78,1865,42,2693,3,364,0
86,2881,9,3157,9,649,1
85,2430,36,2934,9,685,0
72,2879,38,3356,4,383,0
74,2673,16,2699,5,421,1
73,2377,6,3503,2,459,0
80,2353,10,3331,7,233,1
81,2189,32,2811,2,724,1
79,2644,40,2446,8,572,0
82,2663,14,3470,2,452,1
72,1808,14,2338,6,608,0
85,2394,18,3564,5,636,1
74,1971,22,3248,4,481,1
77,2899,34,2480,3,376,1
77,2225,17,2334,4,525,0
72,1802,43,3236,5,607,1
78,2197,25,2649,2,314,1
88,2077,38,2244,5,573,0
