Year,currency,Raw Material Price,Global demand percent,Labor Cost,Interest Rates,Consumer Price Index
1994,85,1713,7,1857,5,350
1995,73,2058,10,2965,5,268
1996,80,1781,32,1762,3,326
1997,83,1703,18,1836,2,294
1998,87,1207,31,1538,5,372
1999,84,1743,44,1819,5,405
2000,81,1816,18,2239,7,273
2001,79,1643,25,2977,4,244
2002,77,1570,35,2213,5,350
2003,79,1387,8,2046,5,373
2004,81,1429,42,2840,8,396
2005,88,1417,29,2706,8,478
2006,75,1520,17,1794,2,221
2007,85,1428,21,2982,2,434
2008,73,1617,44,2593,8,357
2009,74,1912,31,2996,4,292
2010,88,2292,38,2960,7,410
2011,83,1758,18,1592,3,396
2012,75,1379,40,2928,7,309
2013,80,2298,35,2921,6,316
2014,72,1826,15,2338,6,416
2015,89,1505,10,2210,4,401
2016,80,1977,14,2809,8,430
2017,84,2298,11,1591,7,456
2018,89,1234,11,2659,7,270
2019,75,1307,21,1749,3,480
2020,71,2082,33,2017,4,386
2021,72,2245,13,1948,4,343
2022,86,2384,7,2179,4,342
